"Status" "Duration" "History" "Purpose" "Amount" "Savings" "Employment" "Disposable" "Personal" "OtherParties" "Residence" "Property" "Age" "Plans" "Housing" "Existing" "Job" "Dependants" "Telephone" "Foreign" "CreditScore"
"Negative" 15 "C" "NewCar" 1403 "Low" "Medium" 2 "F:DivSepMar" "None" 4 "Car" 28 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 401.396671761602
"Negative" 24 "C" "Television" 1282 "Medium" "Medium" 4 "F:DivSepMar" "None" 2 "Car" 32 "None" "Own" 1 "Unskilled" 1 "No" "Yes" 564.71047256091
"None" 24 "E" "Television" 2424 "Unknown" "VeryLong" 4 "M:Single" "None" 4 "Savings" 53 "None" "Own" 2 "Skilled" 1 "No" "Yes" 709.278220939617
"Negative" 30 "A" "Business" 8072 "Unknown" "Short" 2 "M:Single" "None" 3 "Car" 25 "Bank" "Own" 3 "Skilled" 1 "No" "Yes" 438.321803102689
"Small" 24 "C" "UsedCar" 12579 "Low" "VeryLong" 4 "F:DivSepMar" "None" 2 "None" 44 "None" "RentFree" 1 "Management:Self" 1 "Yes" "Yes" 435.621076939505
"None" 24 "C" "Television" 3430 "Large" "VeryLong" 3 "M:Single" "None" 2 "Car" 31 "None" "Own" 1 "Skilled" 2 "Yes" "Yes" 678.922637518317
"Small" 12 "E" "UsedCar" 1804 "Medium" "Short" 3 "M:Single" "None" 4 "Savings" 44 "None" "Own" 1 "Skilled" 1 "No" "Yes" 668.508078890529
"None" 10 "E" "Furniture" 2069 "Unknown" "Medium" 2 "F:Single" "None" 1 "Car" 26 "None" "Own" 2 "Skilled" 1 "No" "No" 721.800232517832
"Negative" 6 "C" "Furniture" 1374 "Low" "Medium" 1 "M:Single" "None" 2 "House" 36 "Bank" "Own" 1 "Unskilled" 1 "Yes" "Yes" 564.284783325439
"None" 6 "A" "Television" 426 "Low" "VeryLong" 4 "F:Single" "None" 4 "Car" 39 "None" "Own" 1 "Unskilled" 1 "No" "Yes" 546.678122226215
"Large" 12 "B" "Television" 409 "VeryLarge" "Medium" 3 "F:DivSepMar" "None" 3 "House" 42 "None" "Rent" 2 "Skilled" 1 "No" "Yes" 638.93097796725
"Small" 7 "C" "Television" 2415 "Low" "Medium" 3 "M:Single" "Guarantor" 2 "House" 34 "None" "Own" 1 "Skilled" 1 "No" "Yes" 629.485211573991
"Negative" 60 "D" "Business" 6836 "Low" "VeryLong" 3 "M:Single" "None" 4 "None" 63 "None" "Own" 2 "Skilled" 1 "Yes" "Yes" 481.069957679783
"Small" 18 "C" "Business" 1913 "VeryLarge" "Short" 3 "F:Single" "None" 3 "House" 36 "Bank" "Own" 1 "Skilled" 1 "Yes" "Yes" 600.301637267013
"Negative" 24 "C" "Furniture" 4020 "Low" "Medium" 2 "M:Single" "None" 2 "Car" 27 "Stores" "Own" 1 "Skilled" 1 "No" "Yes" 597.569497208108
"None" 12 "E" "Business" 1264 "Unknown" "VeryLong" 4 "M:Single" "None" 4 "None" 57 "None" "Rent" 1 "Unskilled" 1 "No" "Yes" 805.118541711425
"Large" 12 "C" "Furniture" 1474 "Low" "Short" 4 "F:DivSepMar" "None" 1 "Savings" 33 "Bank" "Own" 1 "Management:Self" 1 "Yes" "Yes" 598.068854654923
"Small" 45 "E" "Television" 4746 "Low" "Short" 4 "M:Single" "None" 2 "Savings" 25 "None" "Own" 2 "Unskilled" 1 "No" "Yes" 594.41216643782
"Large" 18 "C" "Television" 2100 "Low" "Medium" 4 "M:Single" "Coapp" 2 "House" 37 "Stores" "Own" 1 "Skilled" 1 "No" "Yes" 524.880406732033
"Large" 10 "C" "Domestic" 1225 "Low" "Medium" 2 "M:Single" "None" 2 "Car" 37 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 696.711455357628
"None" 30 "C" "Television" 2333 "Large" "VeryLong" 4 "M:Single" "None" 2 "Car" 30 "Bank" "Own" 1 "Management:Self" 1 "No" "Yes" 573.599727147191
"Small" 12 "C" "Television" 1158 "Large" "Medium" 3 "M:DivSepMar" "None" 1 "Car" 26 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 644.985302431317
"Small" 18 "D" "Repairs" 6204 "Low" "Medium" 2 "M:Single" "None" 4 "House" 44 "None" "Own" 1 "Unskilled" 2 "Yes" "Yes" 608.972155655226
"Negative" 30 "E" "UsedCar" 6187 "Medium" "Long" 1 "F:Single" "None" 4 "Car" 24 "None" "Rent" 2 "Skilled" 1 "No" "Yes" 634.240059706691
"Negative" 48 "E" "UsedCar" 6143 "Low" "VeryLong" 4 "F:DivSepMar" "None" 4 "None" 58 "Stores" "RentFree" 2 "Unskilled" 1 "No" "Yes" 455.885020140224
"None" 11 "E" "NewCar" 1393 "Low" "Short" 4 "F:DivSepMar" "None" 4 "Car" 35 "None" "Own" 2 "Management:Self" 1 "No" "Yes" 595.271578846439
"None" 36 "C" "Television" 2299 "Large" "VeryLong" 4 "M:Single" "None" 4 "Car" 39 "None" "Own" 1 "Skilled" 1 "No" "Yes" 612.40351335451
"Negative" 6 "C" "UsedCar" 1352 "Large" "Unemployed" 1 "F:DivSepMar" "None" 2 "Savings" 23 "None" "Rent" 1 "Unemployed" 1 "Yes" "Yes" 587.666365219586
"None" 11 "E" "NewCar" 7228 "Low" "Medium" 1 "M:Single" "None" 4 "Savings" 39 "None" "Own" 2 "Unskilled" 1 "No" "Yes" 585.747030251209
"None" 12 "C" "Television" 2073 "Medium" "Medium" 4 "F:DivSepMar" "Coapp" 2 "House" 28 "None" "Own" 1 "Skilled" 1 "No" "Yes" 591.056927840456
"Small" 24 "D" "Furniture" 2333 "Unknown" "Short" 4 "M:Single" "None" 2 "Savings" 29 "Bank" "Own" 1 "Unskilled" 1 "No" "Yes" 558.245813138115
"None" 12 "C" "Television" 1262 "Low" "Medium" 3 "M:Single" "None" 2 "Car" 25 "None" "Own" 1 "Skilled" 1 "No" "Yes" 611.103125257837
"None" 18 "C" "UsedCar" 3378 "Unknown" "Medium" 2 "M:Single" "None" 1 "Savings" 31 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 723.191039512229
"Small" 36 "D" "NewCar" 2225 "Low" "VeryLong" 4 "M:Single" "None" 4 "None" 57 "Bank" "RentFree" 2 "Skilled" 1 "Yes" "Yes" 414.760907866966
"None" 6 "B" "NewCar" 783 "Unknown" "Medium" 1 "M:Single" "Guarantor" 2 "House" 26 "Stores" "Own" 1 "Unskilled" 2 "No" "Yes" 670.018793851629
"Small" 12 "C" "Television" 6468 "Unknown" "Unemployed" 2 "M:Single" "None" 1 "None" 52 "None" "Own" 1 "Management:Self" 1 "Yes" "Yes" 695.156630727322
"None" 36 "E" "Television" 9566 "Low" "Medium" 2 "F:DivSepMar" "None" 2 "Car" 31 "Stores" "Own" 2 "Skilled" 1 "No" "Yes" 453.270808754815
"Large" 18 "C" "NewCar" 1961 "Low" "VeryLong" 3 "F:DivSepMar" "None" 2 "Car" 23 "None" "Own" 1 "Management:Self" 1 "No" "Yes" 464.826020979067
"Negative" 36 "E" "Furniture" 6229 "Low" "Short" 4 "F:DivSepMar" "Coapp" 4 "None" 23 "None" "Rent" 2 "Unskilled" 1 "Yes" "Yes" 538.183454442003
"Small" 9 "C" "Business" 1391 "Low" "Medium" 2 "F:Single" "None" 1 "House" 27 "Bank" "Own" 1 "Skilled" 1 "Yes" "Yes" 518.813528323934
"Small" 48 "A" "Business" 14421 "Low" "Medium" 2 "M:Single" "None" 2 "Car" 25 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 437.585085326756
"None" 24 "C" "Television" 3181 "Low" "Short" 4 "F:DivSepMar" "None" 4 "Savings" 26 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 550.141882071973
"None" 27 "C" "Repairs" 5190 "Unknown" "VeryLong" 4 "M:Single" "None" 4 "Savings" 48 "None" "Own" 4 "Skilled" 2 "Yes" "Yes" 633.537397791917
"None" 12 "C" "Television" 2171 "Low" "Short" 2 "F:DivSepMar" "None" 2 "Car" 29 "Bank" "Own" 1 "Skilled" 1 "No" "Yes" 587.941488791531
"Small" 12 "C" "NewCar" 1007 "VeryLarge" "Medium" 4 "F:Single" "None" 1 "House" 22 "None" "Own" 1 "Skilled" 1 "No" "Yes" 591.000832263824
"None" 36 "C" "Education" 1819 "Low" "Medium" 4 "M:Single" "None" 4 "None" 37 "Stores" "RentFree" 1 "Skilled" 1 "Yes" "Yes" 473.900852974755
"None" 36 "C" "Television" 2394 "Unknown" "Medium" 4 "F:DivSepMar" "None" 4 "Car" 25 "None" "Own" 1 "Skilled" 1 "No" "Yes" 631.252714348351
"None" 36 "C" "UsedCar" 8133 "Low" "Medium" 1 "F:DivSepMar" "None" 2 "Savings" 30 "Bank" "Own" 1 "Skilled" 1 "No" "Yes" 630.909670607209
"None" 7 "E" "Television" 730 "Unknown" "VeryLong" 4 "M:Single" "None" 2 "Savings" 46 "None" "Rent" 2 "Unskilled" 1 "Yes" "Yes" 800.135328092109
"Negative" 8 "E" "Other" 1164 "Low" "VeryLong" 3 "M:Single" "None" 4 "None" 51 "Bank" "RentFree" 2 "Management:Self" 2 "Yes" "Yes" 531.557424943575
"Small" 42 "E" "Business" 5954 "Low" "Long" 2 "F:DivSepMar" "None" 1 "House" 41 "Bank" "Own" 2 "Unskilled" 1 "No" "Yes" 491.901010496912
"Negative" 36 "C" "Education" 1977 "Unknown" "VeryLong" 4 "M:Single" "None" 4 "None" 40 "None" "Own" 1 "Management:Self" 1 "Yes" "Yes" 547.034811880703
"Negative" 12 "E" "UsedCar" 1526 "Low" "VeryLong" 4 "M:Single" "None" 4 "None" 66 "None" "RentFree" 2 "Management:Self" 1 "No" "Yes" 711.146100476591
"Small" 11 "D" "Television" 4771 "Low" "Long" 2 "M:Single" "None" 4 "Savings" 51 "None" "Own" 1 "Skilled" 1 "No" "Yes" 595.75792563707
"None" 54 "A" "UsedCar" 9436 "Unknown" "Medium" 2 "M:Single" "None" 2 "Savings" 39 "None" "Own" 1 "Unskilled" 2 "No" "Yes" 561.117316579516
"Small" 30 "C" "Furniture" 3832 "Low" "Short" 2 "F:Single" "None" 1 "Savings" 22 "None" "Own" 1 "Skilled" 1 "No" "Yes" 470.18873850091
"None" 18 "C" "Business" 1568 "Medium" "Medium" 3 "F:DivSepMar" "None" 4 "Savings" 24 "None" "Rent" 1 "Unskilled" 1 "No" "Yes" 573.798737913283
"Negative" 24 "C" "Other" 1755 "Low" "VeryLong" 4 "F:DivSepMar" "Guarantor" 4 "House" 58 "None" "Own" 1 "Unskilled" 1 "Yes" "Yes" 510.511578530792
"Negative" 10 "C" "Television" 2315 "Low" "VeryLong" 3 "M:Single" "None" 4 "House" 52 "None" "Own" 1 "Unskilled" 1 "No" "Yes" 534.770902383099
"Small" 18 "E" "Furniture" 1295 "Low" "Short" 4 "F:DivSepMar" "None" 1 "Savings" 27 "None" "Own" 2 "Skilled" 1 "No" "Yes" 545.215178899423
"Small" 36 "C" "Education" 12612 "Medium" "Medium" 1 "M:Single" "None" 4 "None" 47 "None" "RentFree" 1 "Skilled" 2 "Yes" "Yes" 516.185177994082
"Negative" 18 "C" "NewCar" 2249 "Medium" "Long" 4 "M:Single" "None" 3 "Car" 30 "None" "Own" 1 "Management:Self" 2 "Yes" "Yes" 499.716742720499
"Negative" 12 "A" "Repairs" 1108 "Low" "Long" 4 "M:Single" "None" 3 "House" 28 "None" "Own" 2 "Skilled" 1 "No" "Yes" 461.391129064784
"None" 12 "E" "Television" 618 "Low" "VeryLong" 4 "M:Single" "None" 4 "House" 56 "None" "Own" 1 "Skilled" 1 "No" "Yes" 691.089407185598
"None" 12 "E" "Television" 797 "Unknown" "VeryLong" 4 "F:DivSepMar" "None" 3 "Savings" 33 "Bank" "Own" 1 "Unskilled" 2 "No" "Yes" 619.710068354764
"Large" 24 "E" "Furniture" 3617 "Unknown" "VeryLong" 4 "M:Single" "Coapp" 4 "None" 20 "None" "Rent" 2 "Skilled" 1 "No" "Yes" 567.907716098209
"Small" 12 "C" "NewCar" 1318 "VeryLarge" "VeryLong" 4 "M:Single" "None" 4 "House" 54 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 639.223746053882
"Small" 54 "A" "Business" 15945 "Low" "Short" 3 "M:Single" "None" 4 "None" 58 "None" "Rent" 1 "Skilled" 1 "Yes" "Yes" 318.811808434133
"Small" 18 "C" "Business" 2622 "Medium" "Medium" 4 "M:Single" "None" 4 "Car" 34 "None" "Own" 1 "Skilled" 1 "No" "Yes" 616.587082549368
"Small" 36 "E" "Television" 2337 "Low" "VeryLong" 4 "M:Single" "None" 4 "House" 36 "None" "Own" 1 "Skilled" 1 "No" "Yes" 600.640401435983
"Small" 20 "D" "UsedCar" 7057 "Unknown" "Long" 3 "M:Single" "None" 4 "Savings" 36 "Bank" "Rent" 2 "Management:Self" 2 "Yes" "Yes" 528.717160801742
"None" 24 "C" "NewCar" 1469 "Medium" "VeryLong" 4 "F:Single" "None" 4 "House" 41 "None" "Rent" 1 "Unskilled" 1 "No" "Yes" 585.194032264301
"Small" 36 "C" "Television" 2323 "Low" "Long" 4 "M:Single" "None" 4 "Car" 24 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 538.37121239983
"None" 6 "D" "Television" 932 "Low" "Medium" 3 "F:DivSepMar" "None" 2 "House" 24 "None" "Own" 1 "Skilled" 1 "No" "Yes" 665.443790331044
"Small" 9 "E" "Furniture" 1919 "Low" "Long" 4 "M:Single" "None" 3 "Car" 35 "None" "Rent" 1 "Skilled" 1 "Yes" "Yes" 597.931442520467
"None" 12 "C" "UsedCar" 2445 "Unknown" "Short" 2 "F:Single" "None" 4 "Car" 26 "None" "Rent" 1 "Skilled" 1 "Yes" "Yes" 702.516453977287
"Small" 24 "E" "Other" 11938 "Low" "Medium" 2 "M:Single" "Coapp" 3 "Car" 39 "None" "Own" 2 "Management:Self" 2 "Yes" "Yes" 538.886038223436
"None" 18 "B" "NewCar" 6458 "Low" "VeryLong" 2 "M:Single" "None" 4 "None" 39 "Bank" "Own" 2 "Management:Self" 2 "Yes" "Yes" 532.674895334991
"Small" 12 "C" "NewCar" 6078 "Low" "Long" 2 "M:Single" "None" 2 "Car" 32 "None" "Own" 1 "Skilled" 1 "No" "Yes" 554.516023570467
"Negative" 24 "C" "Furniture" 7721 "Unknown" "Short" 1 "F:DivSepMar" "None" 2 "Savings" 30 "None" "Own" 1 "Skilled" 1 "Yes" "No" 614.844700699804
"Small" 14 "C" "Business" 1410 "Large" "VeryLong" 1 "F:Single" "None" 2 "House" 35 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 722.1029519016
"Small" 6 "D" "Business" 1449 "Medium" "VeryLong" 1 "M:DivSepMar" "None" 2 "Car" 31 "Bank" "Own" 2 "Skilled" 2 "No" "Yes" 558.636504252454
"Large" 15 "C" "Education" 392 "Low" "Short" 4 "F:DivSepMar" "None" 4 "Savings" 23 "None" "Rent" 1 "Skilled" 1 "Yes" "Yes" 571.151972879667
"Small" 18 "C" "NewCar" 6260 "Low" "Long" 3 "M:Single" "None" 3 "House" 28 "None" "Rent" 1 "Unskilled" 1 "No" "Yes" 502.342766839432
"None" 36 "E" "NewCar" 7855 "Low" "Medium" 4 "F:DivSepMar" "None" 2 "House" 25 "Stores" "Own" 2 "Skilled" 1 "Yes" "Yes" 597.557331906442
"Negative" 12 "C" "Television" 1680 "Large" "VeryLong" 3 "F:Single" "None" 1 "House" 35 "None" "Own" 1 "Skilled" 1 "No" "Yes" 606.889091639771
"None" 48 "E" "Television" 3578 "Unknown" "VeryLong" 4 "M:Single" "None" 1 "House" 47 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 704.887057472037
"Negative" 42 "C" "Television" 7174 "Unknown" "Long" 4 "F:DivSepMar" "None" 3 "Car" 30 "None" "Own" 1 "Management:Self" 1 "Yes" "Yes" 606.541011085015
"Negative" 10 "E" "Furniture" 2132 "Unknown" "Short" 2 "F:DivSepMar" "Coapp" 3 "House" 27 "None" "Rent" 2 "Skilled" 1 "No" "No" 626.981979180901
"Negative" 33 "E" "Furniture" 4281 "Large" "Medium" 1 "F:DivSepMar" "None" 4 "Car" 23 "None" "Own" 2 "Skilled" 1 "No" "Yes" 545.729893070265
"Small" 12 "E" "NewCar" 2366 "Large" "Long" 3 "M:DivSepMar" "None" 3 "Car" 36 "None" "Own" 1 "Management:Self" 1 "Yes" "Yes" 502.450500780141
"Negative" 21 "C" "Television" 1835 "Low" "Medium" 3 "F:DivSepMar" "None" 2 "House" 25 "None" "Own" 2 "Skilled" 1 "Yes" "Yes" 519.580533866355
"None" 24 "E" "UsedCar" 3868 "Low" "VeryLong" 4 "F:DivSepMar" "None" 2 "Car" 41 "None" "Rent" 2 "Management:Self" 1 "Yes" "Yes" 668.066521522869
"Large" 10 "E" "NewCar" 781 "Low" "VeryLong" 4 "M:Single" "None" 4 "None" 63 "None" "RentFree" 2 "Skilled" 1 "Yes" "Yes" 715.018032098809
"Small" 18 "C" "Furniture" 1924 "Unknown" "Short" 4 "F:DivSepMar" "None" 3 "House" 27 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 544.572803790069
"Negative" 12 "E" "NewCar" 2121 "Low" "Medium" 4 "M:Single" "None" 2 "Savings" 30 "None" "Own" 2 "Skilled" 1 "No" "Yes" 564.379121942395
"Negative" 12 "C" "Television" 701 "Low" "Medium" 4 "F:Single" "None" 2 "House" 40 "None" "Own" 1 "Unskilled" 1 "No" "Yes" 570.484752273252
"Small" 12 "C" "Repairs" 639 "Low" "Medium" 4 "M:Single" "None" 2 "Car" 30 "None" "Own" 1 "Skilled" 1 "No" "Yes" 589.904236867397
"Small" 12 "E" "UsedCar" 1860 "Low" "Unemployed" 4 "M:Single" "None" 2 "Car" 34 "None" "Own" 2 "Management:Self" 1 "Yes" "Yes" 603.303953017559
"Negative" 12 "E" "NewCar" 3499 "Low" "Medium" 3 "F:DivSepMar" "Coapp" 2 "House" 29 "None" "Own" 2 "Skilled" 1 "No" "Yes" 549.276612141434
"Small" 48 "C" "NewCar" 8487 "Unknown" "Long" 1 "F:DivSepMar" "None" 2 "Car" 24 "None" "Own" 1 "Skilled" 1 "No" "Yes" 524.933960951423
"Negative" 36 "D" "Education" 6887 "Low" "Medium" 4 "M:Single" "None" 3 "Savings" 29 "Stores" "Own" 1 "Skilled" 1 "Yes" "Yes" 467.385370338305
"None" 15 "C" "Furniture" 2708 "Low" "Short" 2 "M:Single" "None" 3 "Savings" 27 "Bank" "Own" 2 "Unskilled" 1 "No" "Yes" 617.730489841959
"None" 18 "C" "Furniture" 1984 "Low" "Medium" 4 "M:Single" "None" 4 "None" 47 "Bank" "RentFree" 2 "Skilled" 1 "No" "Yes" 581.550773313706
"None" 60 "C" "Television" 10144 "Medium" "Long" 2 "F:DivSepMar" "None" 4 "House" 21 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 541.613729048558
"None" 12 "E" "Television" 1240 "Unknown" "VeryLong" 4 "F:DivSepMar" "None" 2 "House" 38 "None" "Own" 2 "Skilled" 1 "Yes" "Yes" 670.746203246687
"None" 27 "D" "UsedCar" 8613 "VeryLarge" "Medium" 2 "M:Single" "None" 2 "Car" 27 "None" "Own" 2 "Skilled" 1 "No" "Yes" 773.704801975127
"Small" 12 "C" "Television" 766 "Large" "Medium" 4 "M:Single" "None" 3 "House" 66 "None" "Own" 1 "Unskilled" 1 "No" "Yes" 517.877548164942
"Small" 15 "E" "Television" 2728 "Unknown" "Long" 4 "M:Single" "Guarantor" 2 "House" 35 "Bank" "Own" 3 "Skilled" 1 "Yes" "Yes" 689.458980030579
"Large" 12 "C" "Television" 1881 "Low" "Medium" 2 "F:DivSepMar" "None" 2 "Car" 44 "None" "Rent" 1 "Unskilled" 1 "Yes" "Yes" 639.413683794079
"Small" 36 "C" "Television" 4795 "Low" "Short" 4 "F:DivSepMar" "None" 1 "None" 30 "None" "Own" 1 "Management:Self" 1 "Yes" "Yes" 450.692557769955
"Negative" 27 "C" "Television" 3416 "Low" "Medium" 3 "M:Single" "None" 2 "Car" 27 "None" "Own" 1 "Management:Self" 1 "No" "Yes" 512.863293764698
"Negative" 18 "C" "Furniture" 2462 "Low" "Medium" 2 "M:Single" "None" 2 "Car" 22 "None" "Own" 1 "Skilled" 1 "No" "Yes" 547.402526642231
"None" 21 "E" "Furniture" 2288 "Low" "Short" 4 "F:DivSepMar" "None" 4 "Savings" 23 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 586.909810985266
"Small" 48 "B" "Business" 3566 "Medium" "Long" 4 "M:Single" "None" 2 "Car" 30 "None" "Own" 1 "Skilled" 1 "No" "Yes" 452.498100773595
"Negative" 6 "E" "NewCar" 860 "Low" "VeryLong" 1 "F:DivSepMar" "None" 4 "None" 39 "None" "Own" 2 "Skilled" 1 "Yes" "Yes" 634.118175466678
"None" 12 "E" "NewCar" 682 "Medium" "Long" 4 "F:DivSepMar" "None" 3 "Car" 51 "None" "Own" 2 "Skilled" 1 "Yes" "Yes" 659.227615605098
"Negative" 36 "E" "Furniture" 5371 "Low" "Medium" 3 "M:Single" "Guarantor" 2 "Savings" 28 "None" "Own" 2 "Skilled" 1 "No" "Yes" 634.855419454772
"None" 18 "E" "Television" 1582 "VeryLarge" "VeryLong" 4 "M:Single" "None" 4 "Car" 46 "None" "Own" 2 "Skilled" 1 "No" "Yes" 746.669659717394
"None" 6 "C" "Television" 1346 "Medium" "VeryLong" 2 "M:Single" "None" 4 "None" 42 "Bank" "RentFree" 1 "Skilled" 2 "Yes" "Yes" 695.231624469575
"None" 10 "C" "Television" 1924 "Low" "Medium" 1 "M:Single" "None" 4 "Savings" 38 "None" "Own" 1 "Skilled" 1 "Yes" "No" 786.196949650085
"Large" 36 "C" "Television" 5848 "Low" "Medium" 4 "M:Single" "None" 1 "Car" 24 "None" "Own" 1 "Skilled" 1 "No" "Yes" 594.150146609318
"Small" 24 "E" "UsedCar" 7758 "VeryLarge" "VeryLong" 2 "F:DivSepMar" "None" 4 "None" 29 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 624.574187569858
"Small" 24 "D" "Business" 6967 "Medium" "Long" 4 "M:Single" "None" 4 "Car" 36 "None" "Rent" 1 "Management:Self" 1 "Yes" "Yes" 495.331530847673
"Negative" 12 "C" "Furniture" 1282 "Low" "Medium" 2 "F:DivSepMar" "None" 4 "Car" 20 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 540.579708186723
"Negative" 12 "B" "Training" 339 "Low" "VeryLong" 4 "F:Single" "None" 1 "Car" 45 "Bank" "Own" 1 "Unskilled" 1 "No" "Yes" 515.04935225053
"Small" 24 "C" "NewCar" 3512 "Medium" "Long" 2 "M:Single" "None" 3 "Car" 38 "Bank" "Own" 2 "Skilled" 1 "Yes" "Yes" 495.321082878919
"None" 6 "E" "Television" 1898 "Unknown" "Medium" 1 "M:Single" "None" 2 "House" 34 "None" "Own" 2 "Unskilled" 2 "No" "Yes" 698.373803442232
"None" 24 "E" "Television" 2872 "Medium" "VeryLong" 3 "M:Single" "None" 4 "House" 36 "None" "Own" 1 "Skilled" 2 "Yes" "Yes" 698.392332200082
"None" 18 "E" "NewCar" 1055 "Low" "Short" 4 "F:DivSepMar" "None" 1 "Savings" 30 "None" "Own" 2 "Skilled" 1 "No" "Yes" 588.046929999742
"None" 15 "C" "Domestic" 1262 "Large" "Long" 4 "M:Single" "None" 3 "Savings" 36 "None" "Own" 2 "Skilled" 1 "Yes" "Yes" 617.028881547209
"Small" 10 "C" "NewCar" 7308 "Low" "Unemployed" 2 "M:Single" "None" 4 "None" 70 "Bank" "RentFree" 1 "Management:Self" 1 "Yes" "Yes" 471.145136362001
"None" 36 "C" "NewCar" 909 "Large" "VeryLong" 4 "M:Single" "None" 4 "Savings" 36 "None" "Own" 1 "Skilled" 1 "No" "Yes" 574.121085047115
"Negative" 18 "C" "Furniture" 1131 "Low" "Unemployed" 4 "F:DivSepMar" "None" 2 "Car" 33 "None" "Own" 1 "Skilled" 1 "No" "Yes" 446.405937193838
"Small" 11 "C" "Furniture" 1577 "VeryLarge" "Short" 4 "F:DivSepMar" "None" 1 "House" 20 "None" "Own" 1 "Skilled" 1 "No" "Yes" 555.704865960407
"None" 24 "C" "Furniture" 3972 "Low" "Long" 2 "F:DivSepMar" "None" 4 "Savings" 25 "None" "Rent" 1 "Skilled" 1 "Yes" "Yes" 590.110718517396
"Small" 24 "E" "Business" 1935 "Low" "VeryLong" 4 "M:DivSepMar" "None" 4 "House" 31 "None" "Own" 2 "Skilled" 1 "Yes" "Yes" 606.003296672942
"Negative" 15 "A" "NewCar" 950 "Low" "VeryLong" 4 "M:Single" "None" 3 "Car" 33 "None" "Rent" 2 "Skilled" 2 "No" "Yes" 492.755337272786
"None" 12 "C" "Furniture" 763 "Low" "Medium" 4 "F:DivSepMar" "None" 1 "House" 26 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 614.201133817825
"Negative" 21 "D" "Education" 3414 "Low" "Short" 2 "M:Single" "None" 1 "Savings" 26 "None" "Own" 2 "Skilled" 1 "No" "Yes" 581.58879799383
"None" 30 "B" "UsedCar" 7485 "Unknown" "Unemployed" 4 "F:DivSepMar" "None" 1 "House" 53 "Bank" "Own" 1 "Management:Self" 1 "Yes" "Yes" 478.487744890541
"Negative" 12 "C" "Furniture" 2577 "Low" "Medium" 2 "M:DivSepMar" "None" 1 "Car" 42 "None" "Own" 1 "Skilled" 1 "No" "Yes" 492.716663579116
"Negative" 6 "E" "Television" 338 "Large" "VeryLong" 4 "M:Single" "None" 4 "Car" 52 "None" "Own" 2 "Skilled" 1 "No" "Yes" 702.216645219638
